times,parameter,Units,value_mean,value_std,location
2007-06-11,Air_Temperature,F,67.53421052631579,3.006994186074818,Beach2_Tower
2007-06-12,Air_Temperature,F,67.29166666666667,3.321333879822783,Beach2_Tower
2007-06-13,Air_Temperature,F,69.34861111111111,3.17503342003469,Beach2_Tower
2007-06-14,Air_Temperature,F,69.65,3.94440384320898,Beach2_Tower
2007-06-15,Air_Temperature,F,66.36597222222223,3.4529841800209207,Beach2_Tower
2007-06-16,Air_Temperature,F,68.55138888888888,2.863173116536992,Beach2_Tower
2007-06-17,Air_Temperature,F,71.56597222222223,2.407423344586934,Beach2_Tower
2007-06-18,Air_Temperature,F,74.86875,6.441902476557873,Beach2_Tower
2007-06-19,Air_Temperature,F,73.44583333333334,5.736216376818285,Beach2_Tower
2007-06-20,Air_Temperature,F,65.86597222222223,1.6992866950430334,Beach2_Tower
2007-06-21,Air_Temperature,F,67.7875,2.213084895625281,Beach2_Tower
2007-06-22,Air_Temperature,F,63.333333333333336,2.253264919445288,Beach2_Tower
2007-06-23,Air_Temperature,F,61.73819444444444,3.7177329080923753,Beach2_Tower
2007-06-24,Air_Temperature,F,67.10347222222222,4.478017999296142,Beach2_Tower
2007-06-25,Air_Temperature,F,72.50833333333334,2.912296092685035,Beach2_Tower
2007-06-26,Air_Temperature,F,77.24791666666667,2.1536428319367515,Beach2_Tower
2007-06-27,Air_Temperature,F,76.32083333333334,1.9587663807268645,Beach2_Tower
2007-06-28,Air_Temperature,F,71.68333333333334,2.070843211928822,Beach2_Tower
2007-06-29,Air_Temperature,F,66.9076388888889,2.733989115572981,Beach2_Tower
2007-06-30,Air_Temperature,F,67.25486111111111,3.2845650873049914,Beach2_Tower
2007-07-01,Air_Temperature,F,62.31805555555555,1.9257058565219805,Beach2_Tower
2007-07-02,Air_Temperature,F,63.28402777777777,4.4893450110894335,Beach2_Tower
2007-07-03,Air_Temperature,F,66.76458333333333,3.9305592895504566,Beach2_Tower
2007-07-04,Air_Temperature,F,69.92430555555556,2.0360130561281298,Beach2_Tower
2007-07-05,Air_Temperature,F,70.97986111111112,2.249897584650053,Beach2_Tower
2007-07-06,Air_Temperature,F,70.35902777777778,1.905619705177679,Beach2_Tower
