,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,WindDir,WindSp,Max WindSp,AirTemp,RH,BP,DailyRain,Rain Duration,RainInten,RainInten
m/d/y,Degree,mph,mph,F,%,inHg,in,sec,in/h,in/h
1/1/2008 0:00,143,4.7,5.3,38.8,61,29.1,0,55036,0,0
1/1/2008 0:10,138,5.3,6.2,38.8,61,29,0,55036,0,0
1/1/2008 0:20,140,4.9,6.2,39,61,29,0,55036,0,0
1/1/2008 0:30,142,4.4,4.6,39,60,29,0,55036,0,0
1/1/2008 0:40,118,3.7,4.9,39,61,29,0,55036,0,0
1/1/2008 0:50,164,5.6,6.1,39.2,60,29.1,0,55036,0,0
1/1/2008 1:00,190,6.1,6.8,39.5,62,29.1,0,55036,0,0
1/1/2008 1:10,218,4.8,5.3,38.6,68,29.1,0,55066,0,0
1/1/2008 1:20,183,5.5,6.1,37.2,78,29.1,0,55396,0.01,0.01
1/1/2008 1:30,134,3,3.4,35.6,86,29,0,55506,0,0
1/1/2008 1:40,115,2.1,2.4,34.5,90,29,0.01,56076,0.01,0.01
1/1/2008 1:50,121,2.8,3.1,34.3,92,29,0.01,56376,0,0
1/1/2008 2:00,114,4,4.6,34.3,93,29,0.01,56606,0,0
1/1/2008 2:10,111,3.3,4,34.5,93,29,0.01,56866,0,0
1/1/2008 2:20,119,3.5,3.8,34.7,93,29,0.01,56896,0,0
1/1/2008 2:30,148,6.3,6.9,35,93,29,0.01,56896,0,0
1/1/2008 2:40,124,3.2,3.7,35.4,91,29,0.01,56896,0,0
1/1/2008 2:50,165,2.5,3.1,35.7,89,29,0.01,56896,0,0
1/1/2008 3:00,146,4.9,5.2,36.1,88,29,0.01,56896,0,0
1/1/2008 3:10,141,3.1,3.7,36.3,88,29,0.01,56896,0,0
1/1/2008 3:20,145,4,4.4,36.5,87,29,0.01,56896,0,0
1/1/2008 3:30,150,4.9,5.3,36.8,86,29,0.01,56896,0,0
1/1/2008 3:40,234,2.7,3.8,37,85,29,0.01,56896,0,0
1/1/2008 3:50,146,3.7,4.7,37,85,29,0.01,56896,0,0
1/1/2008 4:00,212,6.7,7.4,37.2,84,29,0.01,56896,0,0
1/1/2008 4:10,225,12.1,13.2,36.8,86,29,0.02,57346,0.06,0.06
1/1/2008 4:20,213,9.6,11.1,35.9,89,29,0.03,57786,0,0
1/1/2008 4:30,258,20.2,21.7,35,88,29,0.03,57786,0,0
1/1/2008 4:40,253,21.2,22.1,34.7,92,29,0.03,57786,0,0
1/1/2008 4:50,242,15.3,16,35,92,29,0.03,57786,0,0
1/1/2008 5:00,242,15.3,17.1,35.7,84,29,0.03,57786,0,0
1/1/2008 5:10,234,8.9,10.9,36.5,77,29,0.03,57786,0,0
1/1/2008 5:20,225,12,14.1,36.3,75,29,0.03,57786,0,0
1/1/2008 5:30,239,19.3,21.8,36.6,73,29,0.03,57786,0,0
1/1/2008 5:40,229,13.7,15.1,35.9,75,29,0.03,57826,0,0
1/1/2008 5:50,216,11.8,15.5,35.2,80,29,0.03,57826,0,0
1/1/2008 6:00,205,7.5,8.6,34.7,82,29,0.03,57826,0,0
1/1/2008 6:10,231,15.8,17.5,35,78,29,0.03,57826,0,0
1/1/2008 6:20,221,15.9,17.1,35,78,29,0.03,57826,0,0
1/1/2008 6:30,186,12.4,15.1,34.8,78,29,0.03,57826,0,0
1/1/2008 6:40,189,9.9,11,34.8,77,29,0.03,57826,0,0
1/1/2008 6:50,219,9.1,12.9,34.3,80,29,0.03,57826,0,0
1/1/2008 7:00,237,13.1,18.4,33.9,82,29,0.03,57826,0,0
1/1/2008 7:10,239,7.9,12.2,33.8,84,29,0.03,57826,0,0
1/1/2008 7:20,210,9.4,10.4,33.9,82,29,0.03,57826,0,0
1/1/2008 7:30,189,5.6,7.5,33.9,82,29,0.03,57826,0,0
1/1/2008 7:40,213,8.3,8.9,33.8,83,29,0.03,57846,0,0
1/1/2008 7:50,191,8.8,13.3,33.8,83,29,0.03,57876,0,0
1/1/2008 8:00,227,5.3,6.3,33.8,84,29,0.03,57966,0,0
1/1/2008 8:10,191,9.7,10.7,33.6,86,29,0.03,57966,0,0
1/1/2008 8:20,228,6.6,7.5,33.6,86,29,0.03,57966,0,0
1/1/2008 8:30,233,7.3,8.2,33.9,85,29,0.03,57966,0,0
1/1/2008 8:40,228,9.7,10.6,34.1,85,29,0.03,57966,0,0
1/1/2008 8:50,218,7.8,8.7,34.3,85,29,0.03,57976,0,0
1/1/2008 9:00,219,8.5,9.2,34.5,86,29,0.03,57986,0,0
1/1/2008 9:10,226,12.4,13.4,34.5,86,29,0.03,57986,0,0
1/1/2008 9:20,233,9.2,11.3,34.5,87,29,0.03,57986,0,0
1/1/2008 9:30,242,17.3,19,34.5,87,29,0.03,57986,0,0
1/1/2008 9:40,235,14.7,16,34.1,89,29,0.03,57986,0,0
1/1/2008 9:50,228,13.4,14.9,34.1,90,29,0.03,57996,0,0
1/1/2008 10:00,237,14.3,15.8,34.3,91,29,0.03,58156,0,0
1/1/2008 10:10,239,15.6,18.4,34.5,92,29,0.03,58176,0,0
1/1/2008 10:20,269,17.6,19.1,35.9,88,29,0.03,58236,0,0
1/1/2008 10:30,273,22.8,23.3,35.9,87,29,0.03,58406,0,0
1/1/2008 10:40,267,22.9,24.9,35.7,89,29,0.03,58506,0.01,0.01
1/1/2008 10:50,256,23.7,26.1,35.4,90,29,0.04,58656,0.05,0.05
1/1/2008 11:00,257,26.2,27.8,35,91,29,0.04,58716,0,0
1/1/2008 11:10,264,25.7,29.2,34.7,92,29,0.04,58926,0,0
1/1/2008 11:20,262,26.7,27.7,34.7,92,29,0.04,59176,0,0
1/1/2008 11:30,271,25.4,27,34.5,92,29,0.04,59396,0,0
1/1/2008 11:40,281,27.9,29.1,34.5,91,29,0.04,59616,0,0
1/1/2008 11:50,277,25.4,26.5,34.5,90,29,0.04,59646,0,0
1/1/2008 12:00,275,29,32.4,34.5,88,29,0.04,59646,0,0
1/1/2008 12:10,288,27.3,28.8,34.5,87,29,0.04,59646,0,0
1/1/2008 12:20,277,29.8,31.7,34.3,86,29,0.04,59646,0,0
1/1/2008 12:30,290,30.8,33.1,34.1,87,29,0.04,59646,0,0
1/1/2008 12:40,286,30.9,32.3,33.9,88,29,0.04,59646,0,0
1/1/2008 12:50,288,26.9,28.2,33.9,88,29,0.04,59646,0,0
1/1/2008 13:00,289,28.5,30.6,33.8,89,29,0.04,59646,0,0
1/1/2008 13:10,292,27.4,29.3,33.8,86,29,0.04,59646,0,0
1/1/2008 13:20,292,28,31.5,33.6,87,29,0.04,59646,0,0
1/1/2008 13:30,286,28,30.4,33.4,89,29.1,0.04,59646,0,0
1/1/2008 13:40,300,24.3,26,33,90,29.1,0.04,59646,0,0
1/1/2008 13:50,315,25.3,26.2,32.9,92,29.1,0.04,59676,0,0
1/1/2008 14:00,309,26.7,28.5,32.1,93,29.1,0.04,59776,0,0
1/1/2008 14:10,316,25.5,26.5,32,95,29.1,0.04,59886,0,0
1/1/2008 14:20,335,22.5,23.9,31.9,95,29.1,0.04,59926,0,0
1/1/2008 14:30,317,21.8,23.8,31.9,96,29.1,0.05,60026,0,0
1/1/2008 14:40,345,20.4,22,31.7,96,29.1,0.05,60046,0,0
1/1/2008 14:50,338,18.9,19.4,31.5,96,29.1,0.05,60226,0,0
1/1/2008 15:00,348,16.9,19.2,31.3,96,29.1,0.05,60246,0,0
1/1/2008 15:10,319,18.9,19.2,31.5,96,29.1,0.05,60296,0,0
1/1/2008 15:20,348,23.4,24.2,31.3,96,29.2,0.05,60296,0,0
1/1/2008 15:30,340,21.1,21.9,31.3,96,29.2,0.05,60296,0,0
1/1/2008 15:40,343,17.2,17.7,31.3,96,29.2,0.05,60296,0,0
1/1/2008 15:50,341,22.2,24.2,31,95,29.2,0.05,60296,0,0
1/1/2008 16:00,340,24.8,26.2,31,95,29.2,0.05,60306,0,0
1/1/2008 16:10,334,22.6,23.8,30.8,96,29.2,0.05,60306,0,0
1/1/2008 16:20,342,22,23.5,31,95,29.2,0.05,60306,0,0
1/1/2008 16:30,336,22.5,23.4,31,95,29.2,0.05,60306,0,0
1/1/2008 16:40,340,22.8,24.1,31.1,95,29.2,0.05,60306,0,0
1/1/2008 16:50,352,17,17.9,31,94,29.2,0.05,60306,0,0
1/1/2008 17:00,339,35.5,45.5,30.8,94,29.2,0.05,60306,0,0
1/1/2008 17:10,347,38.8,41.4,30.8,93,29.2,0.05,60316,0,0
1/1/2008 17:20,8,33.7,35.6,30.8,94,29.2,0.05,60316,0,0
1/1/2008 17:30,7,35.1,37.1,30.2,95,29.2,0.05,60386,0,0
1/1/2008 17:40,61,41.5,43.2,30.2,95,29.2,0.05,60386,0,0
1/1/2008 17:50,57,38.4,42,29.9,95,29.2,0.05,60386,0,0
1/1/2008 18:00,16,34.3,35,30.2,95,29.2,0.05,60386,0,0
1/1/2008 18:10,4,39.8,41.9,30.4,95,29.2,0.05,60386,0,0
1/1/2008 18:20,358,33.5,37.1,30.6,94,29.2,0.05,60386,0,0
1/1/2008 18:30,16,40.2,43.3,30.4,92,29.2,0.05,60386,0,0
1/1/2008 18:40,23,41.2,42.8,30.4,89,29.2,0.05,60386,0,0
1/1/2008 18:50,355,26.9,32.5,30.4,89,29.2,0.05,60386,0,0
1/1/2008 19:00,8,19.5,23.3,30.2,89,29.3,0.05,60386,0,0
1/1/2008 19:10,8,26,30,30.2,90,29.3,0.05,60446,0,0
1/1/2008 19:20,1,20.5,21.7,30.4,89,29.3,0.05,60446,0,0
1/1/2008 19:30,355,20.4,22.4,30.6,88,29.3,0.05,60446,0,0
1/1/2008 19:40,4,22.8,25.6,30.2,89,29.3,0.05,60446,0,0
1/1/2008 19:50,359,24.4,25,30.2,88,29.3,0.05,60446,0,0
1/1/2008 20:00,1,23.6,25.3,30.1,87,29.3,0.05,60446,0,0
1/1/2008 20:10,355,23,24.4,29.7,88,29.3,0.05,60446,0,0
1/1/2008 20:20,1,24.3,25.2,30.1,85,29.3,0.05,60446,0,0
1/1/2008 20:30,7,25,26.3,30.1,84,29.3,0.05,60446,0,0
1/1/2008 20:40,0,22.6,23.6,30.1,84,29.3,0.05,60446,0,0
1/1/2008 20:50,357,24.6,25.5,29.9,85,29.3,0.05,60446,0,0
1/1/2008 21:00,0,21.9,22.6,29.7,86,29.3,0,60446,0,0
1/1/2008 21:10,3,19.9,20.8,29.7,88,29.3,0,60446,0,0
1/1/2008 21:20,9,21.8,23.5,29.5,87,29.3,0,60446,0,0
1/1/2008 21:30,10,19.3,21,29.3,87,29.3,0,60446,0,0
1/1/2008 21:40,11,18.5,19.1,29.3,90,29.3,0,60446,0,0
1/1/2008 21:50,14,16.5,17,29.2,90,29.3,0,60446,0,0
1/1/2008 22:00,12,19,21.4,29.2,87,29.3,0,60446,0,0
1/1/2008 22:10,9,19.1,22,29.2,86,29.3,0,60446,0,0
1/1/2008 22:20,18,18.9,20.5,29,88,29.3,0,60456,0,0
1/1/2008 22:30,3,19.5,20.2,29.2,86,29.3,0,60456,0,0
1/1/2008 22:40,11,16.3,18.1,29.2,85,29.3,0,60456,0,0
1/1/2008 22:50,9,20.1,22.4,29.2,85,29.3,0,60456,0,0
1/1/2008 23:00,11,21.1,22.2,29,83,29.3,0,60456,0,0
1/1/2008 23:10,19,16.7,17.8,28.8,79,29.3,0,60456,0,0
1/1/2008 23:20,11,17.7,18.4,28.8,80,29.3,0,60456,0,0
